제목,주소,위도,경도,컨텐츠
대인예술시장 만원의 행복,"광주 동구 제봉로184번길 9-10",35.153729296657,126.917521316674,"광주를 대표하는 예술시장 대인예술시장에서 열리는 합리적인 플리마켓 행사입니다. 만원이라는 착한 가격으로 다양한 예술 작품과 수공예품, 간단한 먹거리까지 알차게 즐길 수 있어 가족·연인 나들이 코스로도 손색이 없습니다. 골목골목 숨은 작가들의 개성 있는 작품을 구경하며 시장 특유의 활기찬 분위기를 함께 느껴보세요."
남도달밤야시장 시즌3탄,"광주 동구 독립로 284-2",35.1561204284167,126.912890110981,"남도의 감성을 그대로 담은 야간 테마 마켓으로, 밤이 깊어질수록 분위기가 더 살아나는 야시장입니다. 푸드트럭과 노상 푸드숍, 라이브 공연이 어우러져 한곳에서 먹고 보고 즐길 수 있습니다. 가족 단위 방문객은 물론, 친구·연인과 인생 사진을 남기기에도 좋은 낭만적인 야간 명소입니다."
주말은 청춘,"광주 동구 호남동 23-1",35.14820874998359,126.91191054078607,"청춘 셀러들이 직접 기획하고 꾸미는 주말 한정 플리마켓입니다. 감성 가득한 핸드메이드 소품과 유니크한 패션 아이템, 라이프스타일 굿즈를 한 번에 만나볼 수 있습니다. 음악과 거리의 분위기가 어우러져 구경만 해도 즐겁고, 소소한 포토존도 곳곳에 마련되어 SNS 업로드용 사진 찍기에도 제격입니다."
아트&플리마켓,"광주 서구 내방로 111",35.15942118017111,126.85142265804065,"지역 아티스트·디자이너와 일반 셀러가 함께 참여하는 예술형 플리마켓입니다. 회화, 일러스트, 공예, 패브릭 등 다양한 장르의 작품을 가까이에서 보고 작가와 직접 소통할 수 있습니다. 개성 넘치는 작품에 더해 라이프스타일 소품과 소규모 문화 프로그램도 함께 열려 작은 아트 페스티벌 같은 분위기를 즐길 수 있습니다."
완전럭키비키잖아,"광주 동구 독립로 284-2",35.1561704284167,126.912940110981,"이름처럼 행운 요소가 가득한 이벤트형 플리마켓으로, 깜짝 럭키드로우와 미니 게임 등 참여형 프로그램이 풍성합니다. 다양한 셀러들이 참여해 패션, 소품, 수공예품, 간식까지 알차게 구성되어 있어 구경하다 보면 시간 가는 줄 모릅니다. 친구들과 가볍게 들렀다가 예상치 못한 득템과 재미를 함께 챙겨갈 수 있는 유쾌한 마켓입니다."
지구농장터,"광주 동구 충장로46번길 10",35.1499105538846,126.912082211608,"환경과 로컬을 생각하는 친환경 콘셉트의 장터로, 농부와 셀러가 직접 준비한 건강한 먹거리와 수공예품을 만날 수 있습니다. 플라스틱 사용을 줄이고 재사용·업사이클 제품을 소개하는 등 지속 가능한 라이프스타일을 제안합니다. 아이들과 함께 방문하면 자연스럽게 환경 교육이 되고, 성인에게는 새로운 소비 방식을 경험할 기회가 됩니다."
지하상점가 금남 문화의 날,"광주 동구 서석로 지하 56",35.1478384174223,126.920021781811,"금남로 지하상점가를 배경으로 열리는 문화·플리 복합 행사입니다. 평소 잘 몰랐던 지하상가의 다양한 점포들과 함께 공연, 체험 부스, 플리마켓이 어우러져 새로운 공간 경험을 선사합니다. 비가 와도 즐길 수 있어 날씨에 구애받지 않고 편하게 둘러보기 좋으며, 숨은 맛집과 상점 탐방의 재미도 쏠쏠합니다."
청년상생마켓,"광주 동구 충장로22번길 2",35.1516851716796,126.910996999173,"청년 창업가와 로컬 브랜드를 지원하는 상생형 플리마켓입니다. 트렌디한 디자인 굿즈, 감성 패션, 이색 아이디어 상품 등 청년의 아이디어가 녹아 있는 상품들을 중심으로 운영됩니다. 구매만으로도 청년 창업을 응원하는 의미가 있어, 가치 소비를 실천하고 싶은 시민들에게 특별한 경험을 제공합니다."
마켓 광장,"광주 서구 상무누리로 30",35.14663325805826,126.8408670434756,"상무지구 중심에서 열리는 대형 야외 마켓으로, 먹거리·체험·공연이 한곳에 모인 축제형 행사입니다. 아이들을 위한 키즈존과 포토존, 다양한 테마 부스가 준비되어 있어 가족 단위 방문객에게 특히 인기가 많습니다. 넓은 광장에서 여유롭게 둘러보며 소소한 쇼핑과 문화생활을 동시에 즐길 수 있습니다."
보이저 첨단 마당마켓,"광주 광산구 임방울대로826번길 19-20",35.2163759055157,126.849476939811,"첨단지구 주민들이 즐겨 찾는 마당형 플리마켓으로, 수공예 소품과 반려동물 용품, 디저트 등 일상에 필요한 아이템이 다양하게 구성됩니다. 잔잔한 음악과 함께 여유로운 동네 장터 분위기를 느낄 수 있어 주말 산책 코스로도 제격입니다. 아이와 반려견을 동반한 가족 방문객들이 많아 따뜻하고 편안한 분위기가 특징입니다."
